cve_id,asset,cvss_score,epss_score,in_kev,risk_description
CVE-2024-38475,Apache HTTP Server,9.1,0.93858,True,CVE CVE-2024-38475 affects Apache HTTP Server. EPSS score 0.9386 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-21412,Windows Server 2022,8.1,0.9377,True,CVE CVE-2024-21412 affects Windows Server 2022. EPSS score 0.9377 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-21412,Windows 10 Pro,8.1,0.9377,True,CVE CVE-2024-21412 affects Windows 10 Pro. EPSS score 0.9377 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-29059,Windows Server 2022,7.5,0.93718,True,CVE CVE-2024-29059 affects Windows Server 2022. EPSS score 0.9372 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-29059,Windows 10 Pro,7.5,0.93718,True,CVE CVE-2024-29059 affects Windows 10 Pro. EPSS score 0.9372 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-21413,Microsoft 365 Apps for Business,9.8,0.92962,True,CVE CVE-2024-21413 affects Microsoft 365 Apps for Business. EPSS score 0.9296 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-38112,Windows Server 2022,7.5,0.92959,True,CVE CVE-2024-38112 affects Windows Server 2022. EPSS score 0.9296 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-38112,Windows 10 Pro,7.5,0.92959,True,CVE CVE-2024-38112 affects Windows 10 Pro. EPSS score 0.9296 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-43451,Windows Server 2022,6.5,0.90313,True,CVE CVE-2024-43451 affects Windows Server 2022. EPSS score 0.9031 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-43451,Windows 10 Pro,6.5,0.90313,True,CVE CVE-2024-43451 affects Windows 10 Pro. EPSS score 0.9031 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-30088,Windows Server 2022,7.0,0.87788,True,CVE CVE-2024-30088 affects Windows Server 2022. EPSS score 0.8779 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-30088,Windows 10 Pro,7.0,0.87788,True,CVE CVE-2024-30088 affects Windows 10 Pro. EPSS score 0.8779 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-49138,Windows Server 2022,7.8,0.84831,True,CVE CVE-2024-49138 affects Windows Server 2022. EPSS score 0.8483 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-49138,Windows 10 Pro,7.8,0.84831,True,CVE CVE-2024-49138 affects Windows 10 Pro. EPSS score 0.8483 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-21333,Windows Server 2022,7.8,0.82278,True,CVE CVE-2025-21333 affects Windows Server 2022. EPSS score 0.8228 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-21333,Windows 10 Pro,7.8,0.82278,True,CVE CVE-2025-21333 affects Windows 10 Pro. EPSS score 0.8228 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-37079,VMware vSphere,9.8,0.82045,True,CVE CVE-2024-37079 affects VMware vSphere. EPSS score 0.8205 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-21338,Windows Server 2022,7.8,0.79142,True,CVE CVE-2024-21338 affects Windows Server 2022. EPSS score 0.7914 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-21338,Windows 10 Pro,7.8,0.79142,True,CVE CVE-2024-21338 affects Windows 10 Pro. EPSS score 0.7914 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-38812,VMware vSphere,9.8,0.77869,True,CVE CVE-2024-38812 affects VMware vSphere. EPSS score 0.7787 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-38193,Windows Server 2022,7.8,0.73233,True,CVE CVE-2024-38193 affects Windows Server 2022. EPSS score 0.7323 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-38193,Windows 10 Pro,7.8,0.73233,True,CVE CVE-2024-38193 affects Windows 10 Pro. EPSS score 0.7323 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-59287,Windows Server 2022,9.8,0.69069,True,CVE CVE-2025-59287 affects Windows Server 2022. EPSS score 0.6907 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-49039,Windows Server 2022,8.8,0.63673,True,CVE CVE-2024-49039 affects Windows Server 2022. EPSS score 0.6367 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-49039,Windows 10 Pro,8.8,0.63673,True,CVE CVE-2024-49039 affects Windows 10 Pro. EPSS score 0.6367 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-29988,Windows Server 2022,8.8,0.60504,True,CVE CVE-2024-29988 affects Windows Server 2022. EPSS score 0.6050 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-29988,Windows 10 Pro,8.8,0.60504,True,CVE CVE-2024-29988 affects Windows 10 Pro. EPSS score 0.6050 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-38213,Windows Server 2022,6.5,0.59323,True,CVE CVE-2024-38213 affects Windows Server 2022. EPSS score 0.5932 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
